GeorgeTown;-24.-9;27.9;79.9
London;-42.-7;11.3;63.8
Kunming;-34.-4;15.7;70.3
Durban;-35.0;20.5;72.6
Tbilisi;-38.-8;12.8;66.0
DaNang;-26.-4;25.8;80.4
NewDelhi;-24.-1;25.0;76.9
Kingston;-22.-7;27.4;77.1
Tallinn;-46.-6;6.3;54.4
Oslo;-44.-2;5.6;61.9
Abidjan;-20.-6;26.0;73.5
Yakutsk;-58.0;-8.-7;42.7
Blantyre;-26.-8;22.2;70.4
Tashkent;-35.-5;14.7;69.3
Suva;-25.-4;25.6;74.4
Kinshasa;-21.-4;25.3;77.1
Dakar;-29.-7;24.0;71.9
Bouaké;-22.-8;25.9;77.4
Tromsø;-45.-5;2.8;52.4
Veracruz;-23.-8;25.3;80.7
Bulawayo;-28.-8;18.8;67.4
Denver;-39.-2;10.3;61.6
Vaduz;-43.-3;10.1;60.3
Dushanbe;-41.-1;14.6;65.6
Budapest;-41.-8;11.3;60.3
Copenhagen;-42.-7;9.1;57.0
Halifax;-40.-4;7.4;55.5
Willemstad;-21.-5;28.0;76.3
Pittsburgh;-36.-3;10.8;62.0
DaLat;-33.-9;17.8;70.3
Barcelona;-30.-7;18.1;66.0
Nicosia;-30.0;19.7;70.8
Cairo;-30.0;21.4;71.5
Napoli;-45.0;15.9;68.9
Heraklion;-29.-3;18.8;69.2
Erbil;-31.-6;19.5;73.4
Seoul;-36.-3;12.5;62.5
Chittagong;-24.0;25.8;74.5
TelAviv;-28.-1;20.0;78.1
SanJuan;-26.-2;27.1;78.0
Douala;-24.-2;26.7;75.5
Marrakesh;-31.-8;19.5;70.4
Kumasi;-25.-4;25.9;73.2
LasPalmasdeGranCanaria;-29.-1;21.1;70.8
Chihuahua;-29.0;18.5;70.6
Malé;-21.-6;27.9;77.0
Adelaide;-30.-3;17.3;68.4
Karonga;-33.0;24.3;74.9
Changsha;-31.-4;17.3;65.0
Luanda;-24.0;25.8;73.8
Niamey;-19.-4;29.2;82.4
Bishkek;-40.-4;11.3;63.6
Flores,Petén;-24.-8;26.4;77.7
Jayapura;-20.-9;27.0;76.4
Maun;-25.-3;22.3;72.0
Baltimore;-38.-4;13.0;63.5
Milan;-44.-8;12.9;64.8
Hargeisa;-29.-3;21.7;70.6
Anadyr;-56.-8;-6.-9;46.7
Seattle;-40.0;11.2;59.4
Abéché;-21.-1;29.3;79.3
Bangui;-27.0;26.0;79.0
ElPaso;-34.-5;18.1;66.5
Beijing;-38.-6;12.8;60.9
Malabo;-22.-1;26.3;82.9
OklahomaCity;-35.0;15.8;65.4
Bloemfontein;-34.-5;15.5;65.2
Surabaya;-20.-5;27.0;82.4
Palermo;-30.-2;18.5;68.1
Jacksonville;-30.-7;20.2;78.4
Dolisie;-29.-7;23.9;73.2
Albuquerque;-34.-8;13.9;70.4
Reykjavík;-44.-4;4.3;54.5
Bergen;-46.-9;7.7;56.1
HongKong;-27.-5;23.3;73.5
Ngaoundéré;-30.-1;21.9;73.4
Bujumbura;-26.-5;23.8;76.8
Astana;-47.-3;3.4;49.8
Baguio;-28.-1;19.5;73.1
Kankan;-25.-3;26.5;78.1
Lodwar;-20.-2;29.2;76.7
Rangpur;-24.-9;24.4;76.5
Makassar;-27.-4;26.6;74.9
Toamasina;-26.-1;23.4;74.4
Memphis;-29.-2;17.1;66.4
Bucharest;-38.-5;10.8;58.6
PortMoresby;-24.-7;26.9;75.7
Denpasar;-26.-3;23.6;74.3
Moncton;-42.-4;6.0;55.7
Mango;-20.-8;28.0;75.8
Vilnius;-41.-5;5.9;56.3
Chongqing;-34.-7;18.5;67.0
Dallas;-33.-1;19.0;73.3
Lhasa;-41.0;7.6;54.0
Pontianak;-23.-3;27.6;77.4
Kandi;-24.-7;27.7;78.8
Antsiranana;-22.-6;25.2;75.8
Ouagadougou;-20.-4;28.2;76.2
Rostov-on-Don;-42.-4;9.9;57.9
Colombo;-20.-7;27.4;80.6
Brazzaville;-22.-8;25.0;76.8
Bata;-23.-1;25.1;75.8
Nouakchott;-26.-4;25.6;76.9
Sokoto;-19.-4;28.0;79.9
Mexicali;-27.-4;23.1;72.4
Harbin;-42.-3;4.9;54.1
Detroit;-40.-5;10.0;63.8
PalmerstonNorth;-35.-1;13.2;62.4
Abha;-33.-3;17.9;68.9
Bridgetown;-21.-1;27.0;76.4
Brussels;-41.-6;10.5;60.2
Shanghai;-35.-6;16.7;67.4
Pointe-Noire;-27.-3;26.1;84.4
Darwin;-25.-5;27.5;75.2
Ndola;-30.-5;20.3;75.0
Tucson;-25.-3;20.9;69.6
Oranjestad;-18.-2;28.1;77.9
Tijuana;-34.-1;17.8;65.0
